timestamp,voltage,current,temperature,humidity,transistor1_state,transistor2_state
2024-10-10 11:13:52,5.12,12.8,25.1,10,0,0
2024-10-10 11:13:55,5.12,12.5,25.3,10,0,0
2024-10-10 11:13:57,5.12,13.7,25.2,10,0,0
2024-10-10 11:14:00,5.12,13.2,24.9,10,0,0
2024-10-10 11:14:03,5.12,14,25.4,10,0,0
2024-10-10 11:14:04,5.12,14.1,25.4,10,0,0
2024-10-10 11:14:06,5.12,13.9,25.6,10,0,0
2024-10-10 11:14:07,5.12,13.6,25.6,10,0,0
2024-10-10 11:14:09,5.12,13.1,25.9,10,0,0
2024-10-10 11:14:11,5.12,13.1,26,10,0,0
2024-10-10 11:14:12,5.12,14.2,26,10,0,0
2024-10-10 11:14:14,5.12,14.2,26.3,11,0,0
2024-10-10 11:14:16,5.12,14.1,26.5,11,0,0
2024-10-10 11:14:17,5.12,13.8,26.5,11,0,0
2024-10-10 11:14:20,5.12,14.1,26.8,11,0,0
2024-10-10 11:14:21,5.12,14.4,26.8,11,0,0
2024-10-10 11:14:23,5.12,14.3,27.1,11,0,0
2024-10-10 11:14:26,5.12,14.1,27.5,12,0,0
2024-10-10 11:14:28,5.12,14.2,27.6,12,0,0
2024-10-10 11:14:31,5.12,14,27.8,11,0,0
2024-10-10 11:14:32,5.12,14.2,27.8,11,0,0
2024-10-10 11:14:35,5.12,14.3,27.8,11,0,0
2024-10-10 11:14:36,5.12,14,27.8,11,0,0
2024-10-10 11:14:38,5.12,13.9,28,10,0,0
2024-10-10 11:14:41,5.12,14.1,28.3,11,0,0
2024-10-10 11:14:42,5.12,13.9,28.3,11,0,0
2024-10-10 11:14:43,5.12,14.4,28.4,11,0,0
2024-10-10 11:14:45,5.12,14,28.4,11,0,0
2024-10-10 11:14:47,5.12,14,28.5,11,0,0
2024-10-10 11:14:48,5.12,13.9,28.5,11,0,0
2024-10-10 11:14:51,5.12,13.9,28.6,11,0,0
2024-10-10 11:14:52,5.12,14,28.6,11,0,0
2024-10-10 11:14:53,5.12,13.8,28.8,11,0,0
2024-10-10 11:14:54,5.12,14,28.8,11,0,0
2024-10-10 11:14:56,5.12,14,28.9,11,0,0
2024-10-10 11:14:57,5.12,14.3,28.9,11,0,0
2024-10-10 11:14:59,5.12,14.3,28.9,11,0,0
2024-10-10 11:15:02,5.12,11.6,29,11,0,0
